"","names","size","isdir","mode","mtime","ctime","atime","exe","Runs","order","Samples"
"13","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/Samples/20240612_WFB_Plate_01_1030_NPA.raw",6736188855,FALSE,666,2024-06-12 14:36:23.693579,2024-06-12 14:40:44.524557,2024-06-20 15:51:49.712173,"no","20240612_WFB_Plate_01_1030_NPA",1,"1030"
"11","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/Samples/20240612_WFB_Plate_01_1016_NPA.raw",6330984170,FALSE,666,2024-06-12 15:45:27.389608,2024-06-13 09:53:57.762583,2024-06-20 15:47:22.674799,"no","20240612_WFB_Plate_01_1016_NPA",2,"1016"
"57","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/Samples/20240612_WFB_Plate_01_43_NPA.raw",6973915611,FALSE,666,2024-06-12 16:47:58.657036,2024-06-13 09:52:57.787678,2024-06-20 17:31:07.104517,"no","20240612_WFB_Plate_01_43_NPA",3,"43"
"51","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/Samples/20240612_WFB_Plate_01_2015-77_NPA.raw",6051461350,FALSE,666,2024-06-12 17:50:31.893999,2024-06-13 09:52:05.6705,2024-06-20 17:17:55.545181,"no","20240612_WFB_Plate_01_2015-77_NPA",4,"2015.77"
"39","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/Samples/20240612_WFB_Plate_01_1137-2_NPA.raw",6104994133,FALSE,666,2024-06-12 18:53:03.916599,2024-06-13 09:51:12.902622,2024-06-20 16:52:19.007235,"no","20240612_WFB_Plate_01_1137-2_NPA",5,"1137.2"
"3","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/Samples/20240612_WFB_Plate_01_1002_NPA.raw",6630214245,FALSE,666,2024-06-12 19:55:37.94364,2024-06-13 09:50:15.749561,2024-06-20 15:25:14.661901,"no","20240612_WFB_Plate_01_1002_NPA",6,"1002"
"67","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/Samples/20240612_WFB_Plate_01_92_NPA.raw",7067371593,FALSE,666,2024-06-12 20:58:05.654436,2024-06-13 09:49:14.559353,2024-06-20 17:49:13.068361,"no","20240612_WFB_Plate_01_92_NPA",7,"92"
"47","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/Samples/20240612_WFB_Plate_01_1184_NPA.raw",6259936243,FALSE,666,2024-06-12 22:00:35.406944,2024-06-13 09:48:20.684849,2024-06-20 17:09:15.014578,"no","20240612_WFB_Plate_01_1184_NPA",8,"1184"
"55","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/Samples/20240612_WFB_Plate_01_33_NPA.raw",7595881777,FALSE,666,2024-06-12 23:03:07.034246,2024-06-13 09:47:15.20159,2024-06-20 17:26:21.711689,"no","20240612_WFB_Plate_01_33_NPA",9,"33"
"43","P:/Projects/WFB_2024_Jaitovich_LongCOVID/LCMS_Runs/20240612_Plate_01/Samples/20240612_WFB_Plate_01_1162_NPA.raw",6223389594,FALSE,666,2024-06-13 00:05:36.805717,2024-06-13 09:46:21.374859,2024-06-20 17:00:58.826223,"no","20240612_WFB_Plate_01_1162_NPA",10,"1162"
